net,length_um
_0877_,20.4µm
_1537_,20.4µm
_1539_,20.4µm
net179,20.35µm
_1367_,20.32µm
_0124_,20.3µm
_0353_,20.3µm
_0578_,20.28µm
_1123_,20.2µm
_1204_,20.2µm
_0753_,20.16µm
_1394_,20.16µm
_0741_,20.15µm
net14,20.02µm
_0242_,19.98µm
_0569_,19.97µm
_0764_,19.92µm
_0846_,19.905µm
_1093_,19.9µm
_0952_,19.86µm
net32,19.82µm
net6,19.76µm
_1279_,19.72µm
_0391_,19.7µm
_0775_,19.7µm
_1133_,19.66µm
_0413_,19.61µm
_1559_,19.54µm
_1171_,19.52µm
_0981_,19.5µm
X_crt\[13\],19.48µm
_1223_,19.48µm
_0748_,19.46µm
_0685_,19.44µm
_1597_,19.44µm
_1075_,19.42µm
_1018_,19.4µm
_1290_,19.38µm
_1530_,19.38µm
_0997_,19.36µm
_0648_,19.34µm
_1491_,19.32µm
_1600_,19.32µm
_1578_,19.3µm
_0473_,19.28µm
_0762_,19.26µm
_0519_,19.24µm
_0669_,19.22µm
_1086_,19.22µm
_1054_,19.2µm
_0756_,19.16µm
_0354_,19.14µm
net26,19.14µm
_0750_,19.12µm
_1016_,19.12µm
_1479_,19.04µm
_0979_,19µm
_1246_,18.98µm
_1572_,18.98µm
_1203_,18.95µm
_1381_,18.94µm
_0996_,18.88µm
_1556_,18.86µm
_0170_,18.78µm
_1013_,18.78µm
net2,18.68µm
_1359_,18.66µm
_0768_,18.64µm
_1137_,18.625µm
_0608_,18.62µm
_0712_,18.56µm
_0415_,18.54µm
_1598_,18.54µm
_1286_,18.46µm
_0828_,18.44µm
_1006_,18.44µm
_0115_,18.36µm
_0429_,18.32µm
_1414_,18.24µm
_1590_,18.24µm
_0210_,18.22µm
_1326_,18.22µm
_1256_,18.16µm
_1366_,18.14µm
_1552_,18.14µm
_0726_,18.06µm
_0661_,18.035µm
net44,18.02µm
_1582_,17.98µm
_1222_,17.96µm
_0502_,17.92µm
_0675_,17.9µm
_0727_,17.88µm
_1068_,17.86µm
_0136_,17.82µm
_0211_,17.8µm
net18,17.78µm
_1058_,17.76µm
