net,length_um
CU_state_dbg\[0\],21.52µm
_1044_,21.5µm
_1587_,21.44µm
_1330_,21.38µm
net45,21.38µm
_0556_,21.36µm
_0578_,21.2µm
_1424_,21.2µm
_0330_,21.18µm
_1215_,21.16µm
_1266_,21.16µm
u_crt.r0\[1\],21.16µm
_0114_,21.12µm
_0733_,21.12µm
_0416_,21.04µm
_1338_,20.94µm
_1177_,20.92µm
_0762_,20.86µm
_0353_,20.8µm
_1119_,20.74µm
_1523_,20.72µm
X_crt\[10\],20.7µm
_0794_,20.7µm
_0476_,20.69µm
_0371_,20.67µm
_1286_,20.62µm
_1420_,20.6µm
_0290_,20.54µm
_0600_,20.52µm
_0729_,20.46µm
_0989_,20.46µm
_1381_,20.45µm
_1364_,20.44µm
_0514_,20.4µm
_1461_,20.36µm
_0957_,20.32µm
_0814_,20.28µm
_0499_,20.27µm
_1367_,20.2µm
net340,20.17µm
_1394_,20.16µm
_0391_,20.04µm
_1537_,20.04µm
_0399_,20.02µm
net14,20.02µm
_0136_,20µm
_1007_,20µm
_0741_,19.92µm
_0480_,19.9µm
_1093_,19.9µm
_1018_,19.86µm
_1204_,19.86µm
_0929_,19.82µm
net32,19.82µm
_1169_,19.68µm
ALU_EN,19.62µm
_0585_,19.58µm
_1113_,19.58µm
X_crt\[3\],19.56µm
_1171_,19.52µm
_0519_,19.5µm
_0131_,19.42µm
_1304_,19.42µm
_1552_,19.4µm
_1306_,19.34µm
_1372_,19.32µm
_1061_,19.3µm
_0473_,19.28µm
_0966_,19.26µm
_1279_,19.26µm
_0661_,19.245µm
_0753_,19.24µm
_0669_,19.22µm
_1211_,19.22µm
_0462_,19.2µm
_0756_,19.16µm
_0354_,19.14µm
net26,19.14µm
_0402_,19.12µm
_1016_,19.12µm
_1571_,19.1µm
X_crt\[13\],19.06µm
_0748_,19µm
_0685_,18.98µm
_0991_,18.98µm
_0837_,18.96µm
_1203_,18.95µm
_0569_,18.9µm
_1562_,18.9µm
_1234_,18.88µm
_0137_,18.86µm
net337,18.82µm
_1013_,18.78µm
_1075_,18.74µm
_1137_,18.625µm
_0415_,18.54µm
_1246_,18.52µm
_1267_,18.51µm
_0739_,18.48µm
_1556_,18.46µm
_0828_,18.44µm
net92,18.36µm
net326,18.36µm
_0997_,18.34µm
_0170_,18.32µm
_0429_,18.32µm
_0596_,18.32µm
_1086_,18.3µm
_0846_,18.26µm
_0210_,18.22µm
_0213_,18.2µm
_1594_,18.18µm
_0559_,18.16µm
_0887_,18.08µm
_0413_,18.06µm
_0721_,18.02µm
net44,18.02µm
_0795_,17.98µm
_1006_,17.98µm
_0936_,17.975µm
_0204_,17.94µm
_1450_,17.94µm
_0150_,17.9µm
_0898_,17.9µm
_0495_,17.89µm
_0332_,17.86µm
_1369_,17.86µm
_0801_,17.82µm
_1491_,17.82µm
net18,17.78µm
_1058_,17.76µm
_0527_,17.74µm
_0540_,17.74µm
_1133_,17.72µm
_1205_,17.72µm
_1398_,17.7µm
_1065_,17.68µm
_0141_,17.64µm
_0486_,17.64µm
_1225_,17.64µm
_0670_,17.6µm
net21,17.56µm
_1392_,17.52µm
_0750_,17.5µm
_0428_,17.46µm
net2,17.42µm
_1068_,17.4µm
net66,17.4µm
_0507_,17.38µm
_1459_,17.36µm
_0452_,17.34µm
net3,17.34µm
_0608_,17.32µm
_0725_,17.32µm
_0731_,17.3µm
_1519_,17.3µm
_0609_,17.23µm
_0385_,17.22µm
_0727_,17.2µm
_1347_,17.18µm
_0194_,17.175µm
_1530_,17.08µm
_0305_,17.06µm
_0674_,17.06µm
_1106_,17.06µm
_1268_,17.06µm
u_crt.r0\[0\],17.06µm
net323,17.03µm
_0351_,17µm
_1425_,16.94µm
_1127_,16.86µm
_1290_,16.86µm
_0124_,16.82µm
net328,16.78µm
net6,16.76µm
_1272_,16.72µm
_1575_,16.68µm
_1123_,16.64µm
_0775_,16.62µm
_0374_,16.6µm
_1220_,16.6µm
_1478_,16.6µm
_1054_,16.56µm
_1366_,16.56µm
net22,16.54µm
_0656_,16.52µm
_0680_,16.52µm
_0627_,16.495µm
net30,16.48µm
_0629_,16.42µm
_0829_,16.4µm
X_crt\[6\],16.38µm
_0541_,16.38µm
_1082_,16.38µm
_1012_,16.28µm
_1270_,16.28µm
_1477_,16.24µm
_0147_,16.15µm
Op_Sel[0],16.14µm
_1454_,16.14µm
_0713_,16.12µm
_0405_,16.1µm
_0913_,16.1µm
_1590_,16.075µm
X_crt\[7\],16.06µm
_0955_,16.06µm
_1295_,16.06µm
_0293_,16.04µm
_1222_,16.04µm
_1083_,16.02µm
_1214_,16.02µm
_0726_,15.98µm
_0862_,15.94µm
_0270_,15.92µm
_0925_,15.9µm
_0996_,15.88µm
net49,15.88µm
_1076_,15.86µm
_1124_,15.86µm
_0643_,15.8µm
_1572_,15.76µm
_0211_,15.64µm
_1470_,15.64µm
_0675_,15.6µm
net43,15.6µm
_0648_,15.58µm
_0619_,15.565µm
_1390_,15.52µm
net16,15.52µm
_0570_,15.48µm
_1602_,15.48µm
_0516_,15.46µm
_1287_,15.46µm
_0284_,15.44µm
_0950_,15.44µm
_1202_,15.42µm
net46,15.42µm
_0431_,15.4µm
_1072_,15.38µm
_0228_,15.34µm
_0465_,15.34µm
_0494_,15.34µm
_1385_,15.34µm
_0301_,15.3µm
_0687_,15.3µm
_1335_,15.3µm
_1046_,15.26µm
_0690_,15.24µm
_0686_,15.22µm
_1029_,15.2µm
_1087_,15.18µm
_1370_,15.14µm
_0589_,15.12µm
X_crt\[8\],15.1µm
_0120_,15.06µm
_0450_,15.06µm
_1319_,15.04µm
_0342_,15.02µm
_1466_,15.02µm
_0432_,14.96µm
_0723_,14.96µm
_0512_,14.94µm
_0116_,14.92µm
_0442_,14.92µm
_0317_,14.9µm
_1549_,14.87µm
_0831_,14.84µm
_1504_,14.84µm
_1579_,14.82µm
net41,14.8µm
_0426_,14.76µm
_0158_,14.72µm
_1402_,14.72µm
_1172_,14.7µm
_0719_,14.68µm
_1414_,14.655µm
_1236_,14.64µm
_1260_,14.64µm
_1038_,14.6µm
_1145_,14.6µm
_0823_,14.54µm
_1581_,14.52µm
_0526_,14.48µm
_0277_,14.42µm
_0550_,14.42µm
_0664_,14.42µm
_1559_,14.42µm
_0376_,14.4µm
_0425_,14.4µm
_0981_,14.36µm
_1030_,14.36µm
_1468_,14.34µm
net288,14.34µm
_0438_,14.3µm
_0770_,14.3µm
_1580_,14.3µm
_1582_,14.3µm
_0508_,14.26µm
_0638_,14.26µm
_0751_,14.24µm
_0871_,14.24µm
_0715_,14.23µm
_1153_,14.22µm
net42,14.22µm
_1031_,14.18µm
_1531_,14.18µm
_1553_,14.16µm
_1596_,14.16µm
_0118_,14.14µm
_1349_,14.14µm
_0296_,14.135µm
_0235_,14.1µm
_0933_,14.1µm
_0684_,14.02µm
_1028_,14.02µm
_1131_,14.02µm
_0236_,13.98µm
_0856_,13.98µm
_1419_,13.98µm
_0172_,13.96µm
_1451_,13.96µm
net80,13.96µm
_0572_,13.955µm
_0174_,13.92µm
_0937_,13.92µm
_1296_,13.92µm
_1101_,13.88µm
_1185_,13.88µm
net40,13.88µm
_0336_,13.86µm
_1098_,13.86µm
_1311_,13.86µm
_1001_,13.84µm
_0127_,13.8µm
_0587_,13.8µm
_0796_,13.8µm
_0969_,13.8µm
_1243_,13.8µm
_1334_,13.8µm
_0730_,13.76µm
_0945_,13.76µm
_1175_,13.76µm
_1277_,13.76µm
_1073_,13.74µm
_0879_,13.72µm
_0919_,13.68µm
_1026_,13.68µm
_1247_,13.68µm
_1566_,13.66µm
_1085_,13.64µm
_1302_,13.64µm
_1209_,13.63µm
_0159_,13.6µm
_0412_,13.6µm
_0742_,13.6µm
_1310_,13.6µm
_1318_,13.6µm
_0395_,13.58µm
_1025_,13.58µm
_0535_,13.56µm
_0200_,13.54µm
_0738_,13.52µm
_0183_,13.5µm
_0539_,13.5µm
_0683_,13.5µm
_1346_,13.5µm
_0489_,13.46µm
_0949_,13.46µm
_1042_,13.46µm
_1488_,13.44µm
_0392_,13.38µm
_0788_,13.38µm
_1264_,13.38µm
_0437_,13.34µm
_0506_,13.34µm
_1121_,13.34µm
_0567_,13.32µm
_1103_,13.26µm
net342,13.24µm
_0860_,13.22µm
_0810_,13.2µm
_0534_,13.18µm
_0747_,13.18µm
_0702_,13.16µm
net336,13.16µm
_0164_,13.14µm
_0676_,13.12µm
_1269_,13.12µm
_1557_,13.12µm
_1395_,13.1µm
_1105_,13.08µm
_1490_,13.08µm
_0544_,13.06µm
_0633_,13.06µm
_1045_,13.04µm
_0139_,13.02µm
_0771_,13.02µm
_1049_,13.02µm
_1327_,13.02µm
_0818_,12.965µm
_0460_,12.96µm
_1436_,12.96µm
_1569_,12.96µm
_0477_,12.93µm
_1256_,12.92µm
_1380_,12.92µm
_1533_,12.92µm
net107,12.92µm
_1174_,12.89µm
_0530_,12.88µm
_0717_,12.88µm
_0362_,12.86µm
_0328_,12.84µm
_0678_,12.84µm
_1039_,12.84µm
_1052_,12.835µm
_1276_,12.825µm
_1598_,12.8µm
_1479_,12.78µm
_1597_,12.76µm
_1146_,12.74µm
_0215_,12.7µm
_0008_,12.68µm
_0151_,12.68µm
_1157_,12.68µm
X_crt\[12\],12.66µm
_1599_,12.66µm
_0617_,12.64µm
_1293_,12.64µm
net294,12.64µm
_1376_,12.62µm
_1148_,12.58µm
net129,12.58µm
_0630_,12.56µm
_1008_,12.56µm
_0916_,12.54µm
net104,12.54µm
_0365_,12.52µm
_0696_,12.505µm
_0786_,12.505µm
net73,12.5µm
_0565_,12.48µm
_1024_,12.42µm
_1447_,12.42µm
Op_Sel[1],12.38µm
_0663_,12.38µm
_0265_,12.34µm
_0652_,12.3µm
net38,12.28µm
_0406_,12.26µm
_0439_,12.22µm
_1273_,12.22µm
_0166_,12.18µm
_0868_,12.18µm
_0698_,12.16µm
_0714_,12.16µm
_0948_,12.16µm
_0347_,12.14µm
_1231_,12.14µm
_0962_,12.12µm
net20,12.12µm
net50,12.12µm
_0160_,12.1µm
_1092_,12.1µm
_0647_,12.06µm
_0255_,12.04µm
_0645_,12.04µm
_0325_,12.02µm
_0749_,12µm
_1015_,12µm
_1403_,12µm
_1564_,12µm
CRT_Done,11.96µm
_0401_,11.96µm
_0568_,11.96µm
_0984_,11.96µm
_0498_,11.92µm
_0740_,11.92µm
net111,11.92µm
X_crt\[15\],11.88µm
_0267_,11.88µm
_0389_,11.88µm
_0659_,11.88µm
_0920_,11.88µm
_1284_,11.88µm
_0106_,11.84µm
_0557_,11.78µm
_1095_,11.76µm
_1262_,11.74µm
net281,11.74µm
_0231_,11.72µm
_0584_,11.72µm
_1128_,11.7µm
_0206_,11.66µm
_1532_,11.66µm
_0140_,11.64µm
_0616_,11.62µm
_0992_,11.62µm
_1278_,11.62µm
_0758_,11.6µm
_1232_,11.6µm
_0281_,11.56µm
_0863_,11.54µm
net89,11.52µm
_0249_,11.5µm
_1055_,11.5µm
_1444_,11.5µm
_1227_,11.48µm
_0708_,11.46µm
_0893_,11.46µm
_0927_,11.44µm
_0500_,11.42µm
_0853_,11.42µm
_0864_,11.42µm
_1150_,11.42µm
_1418_,11.42µm
_0449_,11.38µm
_0177_,11.36µm
_0434_,11.36µm
_0482_,11.34µm
_1233_,11.34µm
_1294_,11.34µm
_1216_,11.32µm
_1475_,11.3µm
_1510_,11.28µm
_1526_,11.28µm
_1540_,11.28µm
_0598_,11.24µm
_0782_,11.24µm
_1603_,11.24µm
_0227_,11.22µm
_0468_,11.2µm
_1283_,11.18µm
_0218_,11.175µm
_1350_,11.165µm
_0635_,11.16µm
_0808_,11.12µm
_1551_,11.12µm
net19,11.1µm
_0472_,11.08µm
_1309_,11.08µm
_1591_,11.08µm
_1471_,11.06µm
_0162_,11.04µm
_1130_,11.04µm
_1265_,11.04µm
_1314_,11.04µm
net5,11.04µm
net339,11.04µm
_0448_,11.02µm
_0262_,11µm
_0488_,10.96µm
_1308_,10.96µm
_1535_,10.94µm
_0935_,10.92µm
_0953_,10.92µm
_1400_,10.92µm
_1412_,10.91µm
_0518_,10.9µm
_0695_,10.88µm
_0167_,10.86µm
_0555_,10.86µm
