Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-05-48/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
      650 |       0 |     256 |      174 |      0 |    96 |   -9.240 |     -213.5 |     39 | _3238_/D
      659 |       0 |     227 |      172 |      0 |    95 |   -9.218 |     -214.9 |     39 | _3238_/D
      660 |       0 |     227 |      172 |      0 |    95 |   -9.218 |     -214.9 |     39 | _3238_/D
      670 |       0 |     235 |      174 |      0 |    96 |   -9.218 |     -213.6 |     39 | _3238_/D
      680 |       0 |     242 |      174 |      0 |    99 |   -9.218 |     -212.8 |     39 | _3238_/D
      690 |       0 |     247 |      176 |      0 |   103 |   -9.218 |     -212.2 |     39 | _3238_/D
      700 |       0 |     250 |      183 |      0 |   107 |   -9.218 |     -212.3 |     39 | _3238_/D
      710 |       0 |     259 |      183 |      0 |   108 |   -9.218 |     -211.7 |     39 | _3238_/D
      720 |       0 |     267 |      183 |      0 |   110 |   -9.218 |     -211.1 |     39 | _3238_/D
      730 |       0 |     273 |      183 |      0 |   114 |   -9.218 |     -210.9 |     39 | _3238_/D
      740 |       0 |     276 |      189 |      0 |   119 |   -9.218 |     -210.7 |     39 | _3238_/D
      750 |       0 |     282 |      191 |      0 |   122 |   -9.218 |     -210.6 |     39 | _3238_/D
      760 |       0 |     288 |      193 |      0 |   125 |   -9.218 |     -209.7 |     39 | _3238_/D
      770 |       0 |     291 |      199 |      0 |   129 |   -9.218 |     -209.9 |     39 | _3238_/D
      780 |       0 |     299 |      201 |      0 |   130 |   -9.218 |     -210.5 |     39 | _3238_/D
      785 |       0 |     291 |      197 |      0 |   125 |   -9.218 |     -209.5 |     39 | _3238_/D
      788 |       0 |     292 |      197 |      0 |   125 |   -9.218 |     -209.4 |     39 | _3238_/D
      790 |       0 |     293 |      197 |      0 |   125 |   -9.218 |     -209.4 |     39 | _3238_/D
      798 |       0 |     298 |      203 |      0 |   125 |   -9.218 |     -209.6 |     39 | _3238_/D
      800 |       0 |     298 |      203 |      0 |   126 |   -9.218 |     -209.6 |     39 | _3238_/D
      801 |       0 |     298 |      203 |      0 |   125 |   -9.218 |     -209.6 |     39 | _3238_/D
      806 |       0 |     298 |      203 |      0 |   125 |   -9.218 |     -209.6 |     39 | _3238_/D
      810 |       0 |     301 |      203 |      0 |   125 |   -9.218 |     -209.8 |     39 | _3238_/D
      820 |       0 |     309 |      203 |      0 |   127 |   -9.218 |     -208.6 |     39 | _3238_/D
      830 |       0 |     316 |      206 |      0 |   129 |   -9.218 |     -208.5 |     39 | _3238_/D
      840 |       0 |     321 |      211 |      0 |   132 |   -9.218 |     -208.0 |     39 | _3238_/D
      850 |       0 |     327 |      216 |      0 |   134 |   -9.218 |     -208.6 |     39 | _3238_/D
      860 |       0 |     332 |      218 |      0 |   138 |   -9.218 |     -208.3 |     39 | _3238_/D
