Metric,Value
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.631940
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,136.904785
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.12422759006434742
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.12174896158062012
timing__hold__ws__corner:max_ff_n40C_1v95,0.12715248658323192
timing__setup__ws__corner:max_ff_n40C_1v95,153.35833304004942
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.127152
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,153.358337
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,7
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79747
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79994
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00252963
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00225316
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000555308
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00225316
design_powergrid__voltage__worst,0.00225316
design_powergrid__voltage__worst__net:VPWR,1.79747
design_powergrid__drop__worst,0.00252963
design_powergrid__drop__worst__net:VPWR,0.00252963
design_powergrid__voltage__worst__net:VGND,0.00225316
design_powergrid__drop__worst__net:VGND,0.00225316
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000057299999999999996877671215589344910767977125942707061767578125
ir__drop__worst,0.002530000000000000130728761149612182634882628917694091796875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
