Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-13-35/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
      647 |       0 |     221 |      208 |      0 |    97 |   -9.377 |     -222.1 |     39 | _3238_/D
      650 |       0 |     223 |      208 |      0 |    97 |   -9.401 |     -222.0 |     39 | _3238_/D
      660 |       0 |     233 |      208 |      0 |    97 |   -9.401 |     -221.3 |     39 | _3238_/D
      670 |       0 |     237 |      216 |      0 |    99 |   -9.401 |     -221.3 |     39 | _3238_/D
      680 |       0 |     245 |      221 |      0 |    99 |   -9.401 |     -220.9 |     39 | _3238_/D
      690 |       0 |     252 |      225 |      0 |   100 |   -9.410 |     -220.8 |     39 | _3238_/D
      698 |       0 |     228 |      216 |      0 |    97 |   -9.377 |     -222.1 |     39 | _3238_/D
      700 |       0 |     229 |      216 |      0 |    97 |   -9.377 |     -222.5 |     39 | _3238_/D
      710 |       0 |     235 |      225 |      0 |    97 |   -9.377 |     -226.0 |     39 | _3238_/D
      720 |       0 |     241 |      231 |      0 |    98 |   -9.377 |     -225.3 |     39 | _3238_/D
      723 |       0 |     231 |      223 |      0 |    97 |   -9.377 |     -222.1 |     39 | _3238_/D
      730 |       0 |     234 |      230 |      0 |    97 |   -9.377 |     -224.6 |     39 | _3238_/D
      740 |       0 |     241 |      236 |      0 |    97 |   -9.377 |     -224.6 |     39 | _3238_/D
      742 |       0 |     232 |      230 |      0 |    97 |   -9.377 |     -222.1 |     39 | _3238_/D
      750 |       0 |     239 |      230 |      0 |    97 |   -9.401 |     -221.8 |     39 | _3238_/D
      760 |       0 |     248 |      230 |      0 |    98 |   -9.401 |     -221.4 |     39 | _3238_/D
      770 |       0 |     256 |      234 |      0 |    98 |   -9.401 |     -221.4 |     39 | _3238_/D
      780 |       0 |     262 |      238 |      0 |   100 |   -9.410 |     -221.2 |     39 | _3238_/D
      790 |       0 |     270 |      240 |      0 |   101 |   -9.410 |     -221.0 |     39 | _3238_/D
      793 |       0 |     239 |      236 |      0 |    97 |   -9.377 |     -222.1 |     39 | _3238_/D
      800 |       0 |     244 |      236 |      0 |    98 |   -9.377 |     -220.6 |     39 | _3238_/D
      810 |       0 |     251 |      240 |      0 |    99 |   -9.377 |     -219.9 |     39 | _3238_/D
      820 |       0 |     256 |      240 |      0 |   104 |   -9.377 |     -219.5 |     39 | _3238_/D
      830 |       0 |     261 |      244 |      0 |   107 |   -9.377 |     -218.8 |     39 | _3238_/D
      840 |       0 |     265 |      250 |      0 |   110 |   -9.377 |     -218.8 |     39 | _3238_/D
      850 |       0 |     275 |      250 |      0 |   110 |   -9.377 |     -218.6 |     39 | _3238_/D
      860 |       0 |     280 |      252 |      0 |   114 |   -9.377 |     -218.1 |     39 | _3238_/D
      870 |       0 |     283 |      258 |      0 |   119 |   -9.377 |     -218.1 |     39 | _3238_/D
      880 |       0 |     288 |      260 |      0 |   123 |   -9.377 |     -218.1 |     39 | _3238_/D
      890 |       0 |     295 |      262 |      0 |   125 |   -9.377 |     -213.9 |     39 | _3238_/D
      900 |       0 |     299 |      268 |      0 |   128 |   -9.377 |     -214.1 |     39 | _3238_/D
