net,length_um
_1295_,14.28µm
_0450_,14.26µm
_0587_,14.26µm
_0567_,14.24µm
_0200_,14.22µm
_0862_,14.22µm
net42,14.22µm
_0448_,14.18µm
_0742_,14.18µm
_1349_,14.14µm
_0296_,14.135µm
_1065_,14.12µm
_0235_,14.1µm
_1297_,14.1µm
_1259_,14.06µm
_0373_,14.04µm
_0684_,14.02µm
_0236_,13.98µm
_0581_,13.98µm
_0758_,13.98µm
_0664_,13.96µm
_0920_,13.96µm
_1335_,13.92µm
_1470_,13.9µm
_0362_,13.88µm
_1067_,13.88µm
_1185_,13.88µm
_0172_,13.86µm
_0228_,13.86µm
_1001_,13.84µm
_1029_,13.84µm
_0638_,13.8µm
_1286_,13.78µm
_0141_,13.76µm
_0747_,13.76µm
_1086_,13.74µm
_1436_,13.74µm
_0412_,13.72µm
_1068_,13.72µm
_1564_,13.7µm
_1273_,13.68µm
_0544_,13.64µm
_0963_,13.64µm
_0183_,13.62µm
_0541_,13.62µm
_1026_,13.6µm
_0395_,13.58µm
_1152_,13.58µm
_1025_,13.56µm
_1395_,13.56µm
X_crt\[3\],13.54µm
_0683_,13.5µm
_1549_,13.48µm
_0489_,13.46µm
_0332_,13.44µm
_0460_,13.42µm
net40,13.42µm
_0788_,13.38µm
_1278_,13.36µm
_1512_,13.36µm
_0568_,13.34µm
_0150_,13.32µm
_0696_,13.305µm
_0893_,13.3µm
_0267_,13.28µm
_0160_,13.26µm
_0695_,13.26µm
_1350_,13.205µm
_0868_,13.2µm
net38,13.2µm
_0756_,13.18µm
_0714_,13.16µm
_1572_,13.16µm
_0749_,13.14µm
X_crt\[12\],13.12µm
_1459_,13.12µm
_0627_,13.105µm
_0711_,13.1µm
_0465_,13.06µm
_0851_,13.04µm
_1380_,13.04µm
_0126_,13.02µm
_1264_,13.02µm
_1027_,13µm
_1041_,13µm
_0818_,12.965µm
_1289_,12.96µm
_1302_,12.94µm
_1103_,12.92µm
_1533_,12.92µm
_0376_,12.9µm
_0734_,12.9µm
_0530_,12.88µm
_0115_,12.84µm
_0864_,12.8µm
_1146_,12.78µm
_0829_,12.76µm
_0598_,12.72µm
_0690_,12.72µm
_1311_,12.72µm
_0215_,12.7µm
_0702_,12.7µm
net46,12.7µm
_1318_,12.68µm
_0617_,12.64µm
_0997_,12.64µm
_0206_,12.58µm
_1167_,12.58µm
_1346_,12.58µm
_1008_,12.56µm
_0616_,12.54µm
_0860_,12.54µm
_0940_,12.54µm
_1040_,12.54µm
_0365_,12.52µm
_0426_,12.5µm
_0325_,12.46µm
_1174_,12.425µm
_0717_,12.42µm
_0928_,12.42µm
_0231_,12.4µm
Op_Sel[1],12.38µm
_0555_,12.34µm
_0195_,12.32µm
_1580_,12.32µm
_0652_,12.3µm
_1310_,12.27µm
_0406_,12.26µm
_0164_,12.2µm
_1594_,12.2µm
_0969_,12.18µm
_0933_,12.16µm
_1376_,12.16µm
_1231_,12.14µm
net20,12.12µm
net50,12.12µm
_0202_,12.1µm
_0204_,12.04µm
_0255_,12.04µm
_1049_,12µm
_1403_,12µm
CRT_Done,11.96µm
_0249_,11.96µm
_1073_,11.92µm
_0389_,11.88µm
_0392_,11.88µm
_0659_,11.88µm
_0853_,11.88µm
_1197_,11.8µm
_0557_,11.78µm
_0288_,11.74µm
_1526_,11.74µm
_0584_,11.72µm
_0937_,11.72µm
_0154_,11.7µm
_0948_,11.66µm
_1451_,11.66µm
_1532_,11.66µm
_1191_,11.64µm
_1209_,11.64µm
_1018_,11.62µm
_1267_,11.62µm
_1038_,11.61µm
_0697_,11.6µm
_0856_,11.6µm
_1330_,11.6µm
_0797_,11.58µm
_0281_,11.56µm
_1045_,11.54µm
_1296_,11.52µm
_1013_,11.51µm
_1131_,11.5µm
_1227_,11.48µm
_0633_,11.46µm
_1039_,11.44µm
_0608_,11.42µm
_1299_,11.42µm
_1314_,11.385µm
_1412_,11.375µm
_0177_,11.36µm
_0272_,11.36µm
_0434_,11.36µm
_1233_,11.34µm
_0526_,11.28µm
_1066_,11.28µm
_1079_,11.26µm
_1468_,11.26µm
_0140_,11.22µm
_0496_,11.22µm
_1491_,11.22µm
_0540_,11.2µm
_1078_,11.2µm
_1399_,11.2µm
_0218_,11.175µm
_0737_,11.16µm
_1024_,11.16µm
net19,11.1µm
_0472_,11.08µm
_0961_,11.08µm
_0536_,11.06µm
_1051_,11.04µm
_1304_,11.04µm
net5,11.04µm
_0262_,11µm
_0922_,11µm
_0484_,10.98µm
_1596_,10.98µm
net7,10.98µm
_0295_,10.92µm
_0984_,10.92µm
_1400_,10.92µm
_1598_,10.92µm
_0159_,10.88µm
_0482_,10.88µm
_0532_,10.86µm
_1339_,10.86µm
_1232_,10.8µm
_1188_,10.78µm
_0327_,10.74µm
_1205_,10.74µm
_1443_,10.74µm
_0508_,10.72µm
_1327_,10.72µm
_0709_,10.7µm
_0486_,10.66µm
_0517_,10.66µm
_1435_,10.62µm
_1471_,10.6µm
_0751_,10.56µm
_0227_,10.54µm
_0347_,10.46µm
_0087_,10.44µm
_1116_,10.44µm
_1561_,10.43µm
_0730_,10.42µm
_1201_,10.42µm
_0167_,10.4µm
_0962_,10.4µm
_0356_,10.32µm
_0449_,10.32µm
_1014_,10.32µm
_1028_,10.32µm
_0468_,10.28µm
_0635_,10.24µm
_0708_,10.24µm
ALU_Done_all,10.22µm
X_crt\[1\],10.22µm
_1408_,10.22µm
net24,10.2µm
_0488_,10.16µm
_0992_,10.12µm
_0329_,10.08µm
_0475_,10.08µm
_0576_,10.08µm
_0716_,10.08µm
_1189_,10.08µm
_0752_,10.04µm
_0784_,10.04µm
_0875_,10.04µm
_0699_,10µm
_0782_,10µm
_0397_,9.98µm
_0792_,9.98µm
net48,9.98µm
_1216_,9.96µm
_0212_,9.94µm
_1283_,9.94µm
_0602_,9.92µm
_0857_,9.92µm
_1557_,9.92µm
_1277_,9.9µm
_0491_,9.86µm
_0843_,9.86µm
net25,9.86µm
_0439_,9.84µm
_1378_,9.82µm
_1441_,9.82µm
_0935_,9.78µm
_1019_,9.78µm
_1128_,9.78µm
_1301_,9.78µm
_0169_,9.74µm
_0331_,9.7µm
_1535_,9.7µm
_1143_,9.68µm
A_in[0],9.64µm
A_in[10],9.64µm
A_in[11],9.64µm
A_in[12],9.64µm
A_in[13],9.64µm
A_in[14],9.64µm
A_in[15],9.64µm
A_in[7],9.64µm
A_in[8],9.64µm
A_in[9],9.64µm
_0358_,9.62µm
_1551_,9.62µm
_0500_,9.58µm
_1198_,9.55µm
_0275_,9.54µm
_0157_,9.52µm
_0161_,9.52µm
_1319_,9.52µm
_0915_,9.5µm
_1104_,9.5µm
_1567_,9.5µm
_0197_,9.48µm
_0546_,9.48µm
_0615_,9.48µm
_1056_,9.48µm
_0217_,9.36µm
_0470_,9.36µm
_0879_,9.36µm
_1321_,9.36µm
_0645_,9.32µm
_0700_,9.32µm
_0323_,9.305µm
A_in[5],9.29µm
_0498_,9.28µm
_1396_,9.28µm
_0641_,9.24µm
_1180_,9.24µm
_0438_,9.16µm
_0927_,9.16µm
_1384_,9.16µm
_0926_,9.12µm
_1419_,9.06µm
_0791_,9.04µm
X_crt\[14\],9.02µm
_0506_,9.02µm
_1060_,9.02µm
_0590_,9µm
_0636_,8.98µm
_1145_,8.98µm
_1192_,8.98µm
_0361_,8.96µm
_0400_,8.96µm
_1363_,8.94µm
_0649_,8.92µm
_1175_,8.92µm
_0162_,8.9µm
_0256_,8.9µm
_0513_,8.9µm
_1148_,8.9µm
_1196_,8.9µm
_1258_,8.885µm
_0941_,8.86µm
_1054_,8.86µm
_1142_,8.86µm
_1355_,8.86µm
_1560_,8.85µm
_1154_,8.82µm
_1340_,8.82µm
_1511_,8.8µm
_1475_,8.78µm
Start,8.72µm
_1357_,8.66µm
_1469_,8.66µm
_0010_,8.62µm
_0243_,8.62µm
_1023_,8.62µm
A_in[3],8.61µm
A_in[4],8.61µm
_0163_,8.61µm
_1105_,8.6µm
_0382_,8.56µm
_0666_,8.56µm
_1055_,8.56µm
_1524_,8.56µm
_1034_,8.54µm
_1087_,8.54µm
_0663_,8.52µm
_0983_,8.52µm
_1181_,8.52µm
_1262_,8.52µm
_0241_,8.48µm
_1147_,8.48µm
_1348_,8.48µm
_0520_,8.46µm
_0146_,8.44µm
_0947_,8.44µm
_1000_,8.44µm
_1489_,8.44µm
_1528_,8.44µm
_1534_,8.44µm
_1542_,8.44µm
_1525_,8.42µm
_0769_,8.4µm
_0518_,8.385µm
_1193_,8.37µm
_1417_,8.36µm
_0264_,8.34µm
_0294_,8.34µm
_1513_,8.34µm
X_crt\[15\],8.32µm
_1070_,8.32µm
_1095_,8.32µm
_0372_,8.3µm
_0698_,8.28µm
_1569_,8.28µm
_1109_,8.275µm
_1351_,8.26µm
_1404_,8.26µm
_1064_,8.225µm
_0259_,8.22µm
_0279_,8.22µm
_0099_,8.18µm
_0388_,8.16µm
_0477_,8.16µm
_1391_,8.16µm
_0625_,8.155µm
_0880_,8.14µm
_0939_,8.14µm
_0191_,8.12µm
_0302_,8.12µm
_0052_,8.1µm
_0839_,8.1µm
_1477_,8.1µm
_0031_,8.08µm
Done,8.04µm
X_out[11],8.04µm
X_out[12],8.04µm
X_out[13],8.04µm
X_out[14],8.04µm
X_out[15],8.04µm
_1329_,8.02µm
_1389_,8µm
_1434_,8µm
_0201_,7.98µm
_0609_,7.98µm
_0639_,7.98µm
_0668_,7.98µm
_0917_,7.98µm
_1114_,7.98µm
_1333_,7.98µm
_1385_,7.98µm
_1529_,7.98µm
_0956_,7.96µm
_0225_,7.955µm
_0407_,7.94µm
A_in[2],7.93µm
_0528_,7.92µm
_1460_,7.92µm
_0092_,7.9µm
_0999_,7.9µm
_0133_,7.86µm
_0308_,7.86µm
_0707_,7.86µm
_0924_,7.86µm
_1281_,7.86µm
_0100_,7.82µm
_0603_,7.82µm
_0467_,7.8µm
_0335_,7.78µm
_1554_,7.78µm
_0075_,7.72µm
net31,7.7µm
