Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_13-58-12/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
     1256 |       0 |     494 |      262 |      0 |   198 |   -7.801 |     -137.2 |     37 | _3238_/D
     1260 |       0 |     496 |      264 |      0 |   198 |   -7.801 |     -137.2 |     37 | _3238_/D
     1264 |       0 |     498 |      264 |      0 |   200 |   -7.801 |     -137.2 |     35 | _3238_/D
     1268 |       0 |     501 |      264 |      0 |   200 |   -7.801 |     -137.0 |     33 | _3238_/D
     1269 |       0 |     501 |      264 |      0 |   200 |   -7.801 |     -137.0 |     32 | _3238_/D
    1270* |       0 |     501 |      264 |      0 |   200 |   -7.801 |     -137.0 |     35 | _3238_/D
    1272* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1273* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1274* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1275* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1276* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1277* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1278* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1279* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1280* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1280* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1281* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1282* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1283* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1284* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1285* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1286* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1287* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1288* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1289* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1290* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1290* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1291* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1292* |       0 |     503 |      264 |      0 |   200 |   -7.624 |     -136.9 |     35 | _3238_/D
    1295* |       0 |     505 |      264 |      0 |   200 |   -7.624 |     -136.4 |     35 | _3238_/D
    1299* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1300* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1301* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1302* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1303* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1304* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1305* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1306* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1307* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1308* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
    1309* |       0 |     508 |      264 |      0 |   200 |   -7.624 |     -136.2 |     35 | _3238_/D
